State,Year,Category,SubCat,Value
Hawaii,2016,HP,Housing Prices,467506.4013
Hawaii,2017,TotalIncome,Income,33766.66367
Hawaii,2017,Expenditure,Income Tax,5577.955755
Hawaii,2017,Expenditure,Other,1221.652132
Hawaii,2017,HP,Housing Prices,527991.0216
Hawaii,2018,TotalIncome,Income,36459.50727
Hawaii,2018,Expenditure,Income Tax,6289.081784
Hawaii,2018,Expenditure,Other,1181.277459
Hawaii,2018,HP,Housing Prices,535739.6166
Hawaii,2019,TotalIncome,Income,38910.75349
Hawaii,2019,Expenditure,Income Tax,20149.56459
Hawaii,2019,Expenditure,Other,2372.913059
Hawaii,2019,HP,Housing Prices,678083.3061
Hawaii,2020,TotalIncome,Income,38584.42869
Hawaii,2020,Expenditure,Income Tax,18620.20198
Hawaii,2020,Expenditure,Other,2214.147568
Hawaii,2020,HP,Housing Prices,654839.2871
Hawaii,2021,TotalIncome,Income,36533.71434
Hawaii,2021,Expenditure,Income Tax,11486.9424
Hawaii,2021,Expenditure,Other,2184.115191
Hawaii,2021,HP,Housing Prices,719221.6155
Idaho,2012,TotalIncome,Income,20358.68807
Idaho,2012,Expenditure,Income Tax,2179.054629
Idaho,2012,Expenditure,Other,1662.224354
Idaho,2012,HP,Housing Prices,190744.4423
Idaho,2013,TotalIncome,Income,22110.11141
Idaho,2013,Expenditure,Income Tax,2501.872237
Idaho,2013,Expenditure,Other,1428.422635
Idaho,2013,HP,Housing Prices,185215.0138
Idaho,2014,TotalIncome,Income,22268.00959
Idaho,2014,Expenditure,Income Tax,2667.813699
Idaho,2014,Expenditure,Other,1688.968493
Idaho,2014,HP,Housing Prices,176075.4717
Idaho,2015,TotalIncome,Income,25806.71216
Idaho,2015,Expenditure,Income Tax,3804.247204
Idaho,2015,Expenditure,Other,1599.947054
Idaho,2015,HP,Housing Prices,192918.9501
Idaho,2016,TotalIncome,Income,26368.63216
Idaho,2016,Expenditure,Income Tax,3921.227398
Idaho,2016,Expenditure,Other,1648.873016
Idaho,2016,HP,Housing Prices,205489.4936
Idaho,2017,TotalIncome,Income,26718.44511
Idaho,2017,Expenditure,Income Tax,3643.644776
Idaho,2017,Expenditure,Other,2153.255721
Idaho,2017,HP,Housing Prices,207430.0268
Idaho,2018,TotalIncome,Income,27917.18207
Idaho,2018,Expenditure,Income Tax,3809.164148
Idaho,2018,Expenditure,Other,1806.024605
Idaho,2018,HP,Housing Prices,222602.3688
Idaho,2019,TotalIncome,Income,28017.39113
Idaho,2019,Expenditure,Income Tax,9538.989919
Idaho,2019,Expenditure,Other,2579.84543
Idaho,2019,HP,Housing Prices,297995.7329
Idaho,2020,TotalIncome,Income,33475.74019
Idaho,2020,Expenditure,Income Tax,13205.92696
Idaho,2020,Expenditure,Other,3031.298692
Idaho,2020,HP,Housing Prices,320971.6665
Idaho,2021,TotalIncome,Income,31773.58914
Idaho,2021,Expenditure,Income Tax,6275.866622
Idaho,2021,Expenditure,Other,2738.90382
Idaho,2021,HP,Housing Prices,381391.0515
Illinois,2012,TotalIncome,Income,26907.29725
Illinois,2012,Expenditure,Income Tax,4152.23523
Illinois,2012,Expenditure,Other,1368.126508
Illinois,2012,HP,Housing Prices,229865.4815
Illinois,2013,TotalIncome,Income,29426.57878
Illinois,2013,Expenditure,Income Tax,4718.344079
Illinois,2013,Expenditure,Other,1498.952138
Illinois,2013,HP,Housing Prices,219742.0092
Illinois,2014,TotalIncome,Income,31129.38178
Illinois,2014,Expenditure,Income Tax,5498.572668
Illinois,2014,Expenditure,Other,1590.68872
Illinois,2014,HP,Housing Prices,213889.6799
Illinois,2015,TotalIncome,Income,30395.3625
Illinois,2015,Expenditure,Income Tax,5055.402975
Illinois,2015,Expenditure,Other,1730.731062
Illinois,2015,HP,Housing Prices,233344.8242
Illinois,2016,TotalIncome,Income,33081.90443
Illinois,2016,Expenditure,Income Tax,5821.244624
Illinois,2016,Expenditure,Other,1760.439993
Illinois,2016,HP,Housing Prices,238012.4378
Illinois,2017,TotalIncome,Income,34071.93326
Illinois,2017,Expenditure,Income Tax,5494.905416
Illinois,2017,Expenditure,Other,1901.095538
Illinois,2017,HP,Housing Prices,244207.1007
Illinois,2018,TotalIncome,Income,35919.14942
Illinois,2018,Expenditure,Income Tax,6036.283067
Illinois,2018,Expenditure,Other,1986.58289
Illinois,2018,HP,Housing Prices,252204.7457
Illinois,2019,TotalIncome,Income,37215.66146
Illinois,2019,Expenditure,Income Tax,17786.48894
Illinois,2019,Expenditure,Other,3140.944388
Illinois,2019,HP,Housing Prices,267459.6886
Illinois,2020,TotalIncome,Income,40428.00359
Illinois,2020,Expenditure,Income Tax,19749.85865
Illinois,2020,Expenditure,Other,3025.421179
Illinois,2020,HP,Housing Prices,271326.975
Illinois,2021,TotalIncome,Income,41774.11489
Illinois,2021,Expenditure,Income Tax,18021.22664
Illinois,2021,Expenditure,Other,3461.348011
Illinois,2021,HP,Housing Prices,291029.7675
Indiana,2012,TotalIncome,Income,24244.37815
Indiana,2012,Expenditure,Income Tax,3342.133113
Indiana,2012,Expenditure,Other,1556.74404
Indiana,2012,HP,Housing Prices,159347.4077
Indiana,2013,TotalIncome,Income,24016.66899
Indiana,2013,Expenditure,Income Tax,3019.577778
Indiana,2013,Expenditure,Other,1611.506799
Indiana,2013,HP,Housing Prices,163080.8175
Indiana,2014,TotalIncome,Income,26515.8314
Indiana,2014,Expenditure,Income Tax,3986.019767
Indiana,2014,Expenditure,Other,1357.50814
Indiana,2014,HP,Housing Prices,167575.436
